customer_id,product_id,product_name,reviews,date,social_media_platform,hashtags,campaign_name,review_sentiment,customer_age
CUST0236,PROD030,Asus ROG Ally,Exceptional quality and craftsmanship evident in every detail. The product exceeded my expectations in terms of both performance and durability. Customer support was responsive and knowledgeable when I had questions. I'm thoroughly impressed and satisfied with this purchase. Might consider alternatives next time.,2024-01-28,LinkedIn,#techdeals #smartlife,SpringSavings,positive,44
CUST0643,PROD028,Nintendo Switch,"Honestly, Exceptional quality and craftsmanship evident in every detail. The product exceeded my expectations in terms of both performance and durability. Customer support was responsive and knowledgeable when I had questions. I'm thoroughly impressed and satisfied with this purchase. Overall quite satisfied with the purchase.",2023-07-06,Facebook,#unboxing #electronics #newtech #gadgetreview,HolidayTechSale,positive,27
CUST0146,PROD025,Hisense ULED,"Frankly, Fantastic product that has completely transformed my daily routine and made tasks so much easier. The performance is consistent and reliable. I appreciate the thoughtful design and the range of features available. Will definitely be buying from this brand again and have already placed another order!",2024-11-28,LinkedIn,#newtech #productlove #techdeals #innovate,BackToSchoolTech,positive,20
CUST0957,PROD036,Bose SoundLink,Exceptional quality and craftsmanship evident in every detail. The product exceeded my expectations in terms of both performance and durability. Customer support was responsive and knowledgeable when I had questions. I'm thoroughly impressed and satisfied with this purchase. Would definitely recommend to others. The Bose SoundLink has some unique qualities.,2024-06-29,TikTok,#newtech #productlove #unboxing,WorkFromHomeEssentials,positive,27
CUST0101,PROD018,Fitbit Charge 6,"It's decent and serves its purpose, but lacks some features I was expecting based on the product description. The interface could be more user-friendly and intuitive. Delivery was on time and packaging was adequate. Fair value but there might be better alternatives available. Had some minor issues but overall manageable.",2023-11-09,LinkedIn,#unboxing #productlove #techdeals #innovate,GamingGearLaunch,neutral,46
CUST0262,PROD033,Philips Air Fryer,"Frankly, Top-notch quality and excellent support from both the seller and manufacturer. The product feels solid and well-built, with attention to detail that shows. I've already recommended this to my friends, family, and colleagues. The after-sales service has been outstanding whenever I needed assistance.",2024-02-11,LinkedIn,#productlove #innovate #smartlife #newtech,WorkFromHomeEssentials,positive,41
CUST0513,PROD035,KitchenAid Mixer,"Good enough for everyday use, though I wouldn't recommend it if you need something more robust or feature-rich. The product works as intended but feels somewhat limited. Support documentation could be more comprehensive. Reasonable purchase for basic needs. Will be keeping an eye on future products from this brand.",2023-07-16,Instagram,#gadgetreview #unboxing #productlove,HolidayTechSale,neutral,30
CUST0696,PROD030,Asus ROG Ally,"The product is okay for the price point, though nothing particularly special about it. It meets the basic functionality requirements but lacks some of the more advanced features I was hoping for. Build quality is adequate but not premium. Delivery was on time and packaging was sufficient to protect the item.",2025-05-20,Facebook,#electronics #techdeals #smartlife #unboxing,GamingGearLaunch,neutral,62
CUST0766,PROD012,Samsung Tab S9,"The features and performance are incredible beyond what I imagined. The design is sleek and modern, fitting perfectly with my setup. I've never been happier with a purchase - it has made my work so much more efficient. The product arrived on time, was well packaged, and came with clear instructions. Worth every single penny!",2023-07-16,YouTube,#techdeals #innovate,GamingGearLaunch,positive,53
CUST0913,PROD026,PlayStation 5,"I have to say, Fantastic product that has completely transformed my daily routine and made tasks so much easier. The performance is consistent and reliable. I appreciate the thoughtful design and the range of features available. Will definitely be buying from this brand again and have already placed another order! Not sure if I would buy again.",2025-05-03,LinkedIn,#newtech #smartlife #gadgetreview,BackToSchoolTech,positive,22
CUST0735,PROD007,AirPods Pro,"Reasonable product that does the job without any major issues, though it's not particularly exciting or innovative. The price point seems fair for what you get. Some features work better than others. Overall, it's a safe but unremarkable choice.",2023-06-21,YouTube,#electronics #techdeals #unboxing #gadgetreview,HolidayTechSale,neutral,55
