interaction_id,customer_id,product_id,product_name,product_category,interaction_date,interaction_type,agent_id,branch_id,latitude,longitude,grand_total,issue_category,issue_subcategory,resolution_status,resolution_time_minutes,sla_met,is_first_contact_resolution,is_escalated,sentiment_score,sentiment_category,interaction_summary,nps_score,feedback_score_agent,feedback_score_resolution,call_duration_seconds,queue_time_seconds,num_open_issues_snapshot,time_since_last_interaction_days,product_ownership_flag,agent_status
c124e30d-8bd6-49b3-9be8-e92d0cc07374,CUST0754,PROD022,Samsung QLED 65,Entertainment & Gaming,2024-08-16 16:36:00,Chat,AGT024,BR01,-1.289311,36.8124,505477.65,Product Defect,Manufacturing Defect,Resolved,5,Yes,Yes,No,0.83,Positive,Customer reported product defect issue regarding Entertainment & Gaming product. Issue resolved.,10,2,4,305,62,0,352,Yes,Offline
19744c35-fc42-4197-b689-090983717343,CUST0789,PROD031,Dyson V15 Detect,Smart Home & Appliances,2025-07-24 14:51:43,Call,AGT019,BR01,-1.289311,36.8124,415320.46,Technical Support,Connectivity Issue,Resolved,6,Yes,No,No,0.34,Neutral,Customer reported technical support issue regarding Smart Home & Appliances product. Issue resolved.,8,5,4,361,80,0,10,Yes,Online
1461f2fd-aba3-48c1-8a6f-a6e30a34b672,CUST0271,PROD017,Samsung Galaxy Watch,Wearables & Accessories,2023-10-07 23:50:19,Call,AGT030,BR01,-1.289311,36.8124,41264.46,Technical Support,Compatibility,Resolved,21,Yes,Yes,No,0.75,Positive,Customer reported technical support issue regarding Wearables & Accessories product. Issue resolved.,10,3,5,1261,163,0,666,Yes,Offline
f6fd035a-8ceb-4c5b-ac24-c7c1f3ce930f,CUST0254,PROD029,Steam Deck,Entertainment & Gaming,2023-11-27 12:58:58,Chat,AGT034,BR01,-1.289311,36.8124,172230.11,Product Defect,Manufacturing Defect,Resolved,5,No,Yes,No,-0.85,Negative,Customer reported product defect issue regarding Entertainment & Gaming product. Issue resolved.,1,3,2,303,633,0,615,Yes,Online
61562b34-8cb7-462e-b5c0-a6c52c1c8c5e,CUST0931,PROD038,Sonos One,Entertainment & Gaming,2024-04-17 15:40:04,Call,AGT045,BR01,-1.289311,36.8124,37947.61,Return/Refund,Refund Delay,Resolved,5,Yes,No,No,-0.48,Negative,Customer reported return/refund issue regarding Entertainment & Gaming product. Issue resolved.,2,2,1,302,20,0,473,Yes,Online
02ff6966-5488-45b8-86bf-2bdb8f82d2d8,CUST0882,PROD021,LG OLED TV 55,Entertainment & Gaming,2025-08-04 12:22:19,Call,AGT049,BR01,-1.289311,36.8124,263627.89,Billing Inquiry,Incorrect Charge,Resolved,5,Yes,Yes,No,0.89,Positive,Customer reported billing inquiry issue regarding Entertainment & Gaming product. Issue resolved.,9,4,3,302,117,0,0,Yes,Offline
af654aca-54de-414e-84a1-82a4e767cab2,CUST0264,PROD032,Roomba i7+,Smart Home & Appliances,2024-08-11 07:03:48,Call,AGT031,BR01,-1.289311,36.8124,84440.6,Billing Inquiry,Payment Error,Resolved,5,Yes,Yes,No,1.0,Positive,Customer reported billing inquiry issue regarding Smart Home & Appliances product. Issue resolved.,10,3,4,300,44,0,358,Yes,Online
7c09a005-43fb-4385-81f0-6d0b0bcf0b9c,CUST0921,PROD040,Google Nest Hub,Smart Home & Appliances,2025-06-22 22:44:02,In-Person Support,AGT054,BR01,-1.289311,36.8124,39511.939999999995,Product Defect,Software Bug,Resolved,6,Yes,No,No,-0.3,Negative,Customer reported product defect issue regarding Smart Home & Appliances product. Issue resolved.,5,2,1,0,0,0,42,Yes,Offline
62198601-9627-4100-9eda-56522bd75b86,CUST0443,PROD049,Logitech MX Master,Mobile & Computing,2024-07-30 05:17:09,Social Media DM,AGT026,BR01,-1.289311,36.8124,40140.479999999996,Technical Support,Connectivity Issue,Resolved,16,Yes,Yes,No,0.7,Positive,Customer reported technical support issue regarding Mobile & Computing product. Issue resolved.,9,5,5,0,0,0,370,Yes,Online
25993818-a7da-4448-bbd1-519afcedf284,CUST0400,PROD041,Ring Video Doorbell,Smart Home & Appliances,2024-11-25 19:58:07,Chat,AGT005,BR01,-1.289311,36.8124,30114.79,Product Defect,Manufacturing Defect,Escalated,17,Yes,No,No,0.33,Neutral,Customer reported product defect issue regarding Smart Home & Appliances product. Issue escalated.,8,2,2,1029,252,0,251,Yes,Offline
627ed394-4ecb-4141-9a4f-d7838babef08,CUST0712,PROD023,Sony Bravia 43,Entertainment & Gaming,2023-11-21 06:07:24,Call,AGT007,BR01,-1.289311,36.8124,221180.1,Return/Refund,Exchange Request,Resolved,5,Yes,Yes,No,1.0,Positive,Customer reported return/refund issue regarding Entertainment & Gaming product. Issue resolved.,9,3,3,307,75,0,622,Yes,Offline
e0405c40-35d8-4d91-bacf-0dc9dccbf4d1,CUST0527,PROD008,JBL Flip 6,Entertainment & Gaming,2024-07-30 15:15:35,Chat,AGT005,BR01,-1.289311,36.8124,67900.54,Product Defect,Software Bug,Resolved,11,Yes,Yes,No,1.0,Positive,Customer reported product defect issue regarding Entertainment & Gaming product. Issue resolved.,9,4,4,670,127,0,369,Yes,Offline
ac748d2d-a9c4-42ce-8c80-e9a68f5dd557,CUST0076,PROD008,JBL Flip 6,Entertainment & Gaming,2025-02-01 06:39:52,In-Person Support,AGT013,BR01,-1.289311,36.8124,34293.2,Return/Refund,Exchange Request,Resolved,10,Yes,No,No,0.36,Neutral,Customer reported return/refund issue regarding Entertainment & Gaming product. Issue resolved.,8,4,3,0,0,0,184,Yes,Offline
06ab49ea-7942-41f6-914a-66e623c73338,CUST0387,PROD037,Marshall Acton,Entertainment & Gaming,2025-04-21 14:59:30,In-Person Support,AGT026,BR01,-1.289311,36.8124,193812.37,Service Delay,Agent Unresponsive,Resolved,14,Yes,Yes,No,1.0,Positive,Customer reported service delay issue regarding Entertainment & Gaming product. Issue resolved.,9,4,5,0,0,0,104,Yes,Online
b8549a91-924a-4a16-a7fd-e12b692422d5,CUST0425,PROD004,Dell XPS 13,Mobile & Computing,2025-07-15 21:40:58,Chat,AGT011,BR01,-1.289311,36.8124,282915.63,Technical Support,Software Update,Resolved,5,Yes,Yes,No,1.0,Positive,Customer reported technical support issue regarding Mobile & Computing product. Issue resolved.,10,3,4,304,37,0,19,Yes,Offline
07477aeb-2f13-41ea-89a1-9f9876de872f,CUST0134,PROD044,Wyze Cam v3,Smart Home & Appliances,2024-12-24 00:15:15,Call,AGT014,BR01,-1.289311,36.8124,23917.96,Order Status,Wrong Item Received,Resolved,7,No,Yes,No,-0.27,Negative,Customer reported order status issue regarding Smart Home & Appliances product. Issue resolved.,1,2,1,424,602,0,223,Yes,Online
a7665bab-25c1-49cb-8490-53fe0c22c421,CUST0673,PROD018,Fitbit Charge 6,Wearables & Accessories,2024-12-29 00:04:16,Call,AGT046,BR01,-1.289311,36.8124,50338.71,Service Delay,Slow Resolution,Resolved,11,Yes,Yes,No,1.0,Positive,Customer reported service delay issue regarding Wearables & Accessories product. Issue resolved.,9,4,4,666,169,0,218,Yes,Online
e5468959-26a0-463a-adcc-fa7e4f195221,CUST0224,PROD012,Samsung Tab S9,Mobile & Computing,2024-04-07 03:45:46,Social Media DM,AGT045,BR01,-1.289311,36.8124,542664.1599999999,Billing Inquiry,Subscription Issue,Resolved,10,Yes,Yes,No,0.2,Neutral,Customer reported billing inquiry issue regarding Mobile & Computing product. Issue resolved.,8,4,1,0,0,0,484,Yes,Online
9c0e3f68-c913-490e-a457-b6113745c89b,CUST0646,PROD013,Microsoft Surface,Mobile & Computing,2025-08-04 11:48:19,Email,AGT030,BR01,-1.289311,36.8124,175864.19999999998,Order Status,Cancellation,Resolved,11,Yes,No,No,0.26,Neutral,Customer reported order status issue regarding Mobile & Computing product. Issue resolved.,8,1,3,0,0,0,0,Yes,Offline
584517dd-f5c6-4448-9299-842f37bfbe5e,CUST0719,PROD029,Steam Deck,Entertainment & Gaming,2024-07-03 02:05:17,In-Person Support,AGT041,BR01,-1.289311,36.8124,86943.09,Product Defect,Software Bug,Resolved,19,Yes,Yes,No,0.35,Neutral,Customer reported product defect issue regarding Entertainment & Gaming product. Issue resolved.,8,3,3,0,0,0,397,Yes,Offline
acc119b3-01d5-4ac9-8ad8-7b0c1996dcfd,CUST0861,PROD036,Bose SoundLink,Entertainment & Gaming,2024-06-14 01:00:28,Social Media DM,AGT059,BR01,-1.289311,36.8124,41131.86,Service Delay,Slow Resolution,Resolved,11,Yes,Yes,No,0.6,Positive,Customer reported service delay issue regarding Entertainment & Gaming product. Issue resolved.,9,5,4,0,0,0,416,Yes,Offline
0e5fb815-24f8-42ea-9a8c-39f8458df020,CUST0896,PROD040,Google Nest Hub,Smart Home & Appliances,2025-08-04 11:35:19,In-Person Support,AGT056,BR01,-1.289311,36.8124,79023.89,General Inquiry,Warranty Info,Resolved,20,Yes,Yes,No,0.96,Positive,Customer reported general inquiry issue regarding Smart Home & Appliances product. Issue resolved.,10,4,5,0,0,0,0,Yes,Offline
478ea62c-88fa-4b68-9f0e-3db74a105c68,CUST0786,PROD023,Sony Bravia 43,Entertainment & Gaming,2024-07-01 07:00:01,Call,AGT043,BR01,-1.289311,36.8124,51672.48,Product Defect,Software Bug,Resolved,5,No,Yes,No,0.66,Positive,Customer reported product defect issue regarding Entertainment & Gaming product. Issue resolved.,10,3,5,307,548,0,399,Yes,Online
ff7005f8-1ed4-44a9-8bde-7eea656f512f,CUST0214,PROD022,Samsung QLED 65,Entertainment & Gaming,2025-08-01 23:06:08,Social Media DM,AGT025,BR01,-1.289311,36.8124,270177.56,Product Defect,Software Bug,Resolved,12,Yes,Yes,No,0.57,Positive,Customer reported product defect issue regarding Entertainment & Gaming product. Issue resolved.,10,5,4,0,0,0,2,Yes,Offline
36c18816-d2b8-4c44-8ee2-01bac8474fff,CUST0933,PROD015,Lenovo ThinkPad,Mobile & Computing,2025-05-08 11:59:45,Call,AGT040,BR01,-1.289311,36.8124,281809.26999999996,Billing Inquiry,Refund Status,Resolved,13,Yes,Yes,No,0.47,Positive,Customer reported billing inquiry issue regarding Mobile & Computing product. Issue resolved.,10,4,5,786,100,0,88,Yes,Offline
71901d65-5a99-4755-8989-2fc85db60da5,CUST0024,PROD017,Samsung Galaxy Watch,Wearables & Accessories,2025-08-04 12:02:19,Social Media DM,AGT012,BR01,-1.289311,36.8124,90781.82,Product Defect,Manufacturing Defect,Pending,17,Yes,No,No,0.51,Positive,Customer reported product defect issue regarding Wearables & Accessories product. Issue pending.,9,3,5,0,0,0,0,Yes,Online
b306288d-c67c-4cef-8576-7127af3a0c6d,CUST0915,PROD042,Arlo Pro 4,Smart Home & Appliances,2025-06-30 13:00:04,Email,AGT041,BR01,-1.289311,36.8124,97666.52,Product Defect,Software Bug,Pending,10,No,Yes,No,-0.44,Negative,Customer reported product defect issue regarding Smart Home & Appliances product. Issue pending.,5,1,2,0,0,2,34,Yes,Offline
99eb4b82-252c-43a5-a38f-57eaae31dfb7,CUST0817,PROD006,Sony WH-1000XM5,Wearables & Accessories,2025-05-28 17:46:48,Email,AGT046,BR01,-1.289311,36.8124,236866.58000000002,Product Defect,Hardware Failure,Resolved,14,Yes,Yes,No,0.31,Neutral,Customer reported product defect issue regarding Wearables & Accessories product. Issue resolved.,7,2,4,0,0,0,67,Yes,Online
b020e859-bd96-4431-ab29-3d8596ebe21b,CUST0144,PROD050,Razer DeathAdder,Mobile & Computing,2025-08-04 12:08:19,Chat,AGT019,BR01,-1.289311,36.8124,12086.88,Technical Support,Troubleshooting,Resolved,16,Yes,Yes,No,0.41,Positive,Customer reported technical support issue regarding Mobile & Computing product. Issue resolved.,9,5,4,964,172,0,0,Yes,Online
50141723-f57c-4a93-af9f-b4204edaca77,CUST0476,PROD004,Dell XPS 13,Mobile & Computing,2023-10-11 00:15:12,Call,AGT010,BR01,-1.289311,36.8124,134721.73,Technical Support,Setup Help,Resolved,5,Yes,Yes,No,1.0,Positive,Customer reported technical support issue regarding Mobile & Computing product. Issue resolved.,10,4,4,301,38,0,663,Yes,Online
74de7c2b-d539-4e4e-afe6-1fd878dba231,CUST0066,PROD024,TCL 4K Smart TV,Entertainment & Gaming,2024-04-16 12:16:53,In-Person Support,AGT036,BR01,-1.289311,36.8124,259697.72000000003,Order Status,Delivery Delay,Resolved,6,Yes,Yes,No,0.62,Positive,Customer reported order status issue regarding Entertainment & Gaming product. Issue resolved.,10,5,4,0,0,0,475,Yes,Online
9a7c5ba5-1132-4b60-b345-edc69539b7fa,CUST0213,PROD033,Philips Air Fryer,Smart Home & Appliances,2025-08-04 11:39:19,Call,AGT009,BR01,-1.289311,36.8124,119875.0,Technical Support,Setup Help,Resolved,9,Yes,Yes,No,1.0,Positive,Customer reported technical support issue regarding Smart Home & Appliances product. Issue resolved.,9,4,5,544,121,0,0,Yes,Online
0bf426c8-cb1b-4fce-995e-43b205eef743,CUST0349,PROD025,Hisense ULED,Entertainment & Gaming,2025-01-29 14:13:28,Social Media DM,AGT008,BR01,-1.289311,36.8124,159104.97,General Inquiry,Product Information,Resolved,11,Yes,Yes,No,1.0,Positive,Customer reported general inquiry issue regarding Entertainment & Gaming product. Issue resolved.,9,5,4,0,0,0,186,Yes,Offline
110ad65c-d5a3-44fe-98e7-d671c3c7a594,CUST0520,PROD011,iPad Pro 12.9,Mobile & Computing,2025-08-04 12:13:19,Social Media DM,AGT049,BR01,-1.289311,36.8124,398136.76,Technical Support,Troubleshooting,Resolved,10,Yes,Yes,No,0.38,Neutral,Customer reported technical support issue regarding Mobile & Computing product. Issue resolved.,7,5,3,0,0,0,0,Yes,Offline
29b15a63-46b2-47d9-907f-f7e986df6d6c,CUST0061,PROD033,Philips Air Fryer,Smart Home & Appliances,2025-01-12 10:17:28,Chat,AGT050,BR01,-1.289311,36.8124,87971.91,Technical Support,Troubleshooting,Resolved,17,Yes,No,No,-0.25,Negative,Customer reported technical support issue regarding Smart Home & Appliances product. Issue resolved.,5,1,1,1025,156,0,204,Yes,Online
974f6ac8-a32b-4f11-a184-b8590aa1a74e,CUST0704,PROD022,Samsung QLED 65,Entertainment & Gaming,2025-08-04 12:15:19,Email,AGT007,BR01,-1.289311,36.8124,540355.12,Return/Refund,Warranty Claim,Resolved,5,Yes,No,No,-0.64,Negative,Customer reported return/refund issue regarding Entertainment & Gaming product. Issue resolved.,1,1,1,0,0,0,0,Yes,Offline
ad9e3cbe-451d-4a71-b186-e4109460563b,CUST0943,PROD004,Dell XPS 13,Mobile & Computing,2024-05-23 22:50:04,Email,AGT055,BR01,-1.289311,36.8124,693143.3200000001,Product Defect,Hardware Failure,Resolved,5,Yes,Yes,No,0.67,Positive,Customer reported product defect issue regarding Mobile & Computing product. Issue resolved.,9,5,5,0,0,0,437,Yes,Online
573ee392-c39d-4c92-97b7-f86ca9182c53,CUST0489,PROD038,Sonos One,Entertainment & Gaming,2025-08-04 12:18:19,Email,AGT046,BR01,-1.289311,36.8124,37568.130000000005,Technical Support,Setup Help,Resolved,21,Yes,Yes,No,1.0,Positive,Customer reported technical support issue regarding Entertainment & Gaming product. Issue resolved.,10,5,3,0,0,0,0,Yes,Online
130fe957-465a-4a75-9f11-2d644f49154b,CUST0749,PROD016,Apple Watch Series 9,Wearables & Accessories,2024-03-11 18:04:44,Email,AGT055,BR01,-1.289311,36.8124,156798.87999999998,General Inquiry,Warranty Info,Resolved,5,Yes,Yes,No,1.0,Positive,Customer reported general inquiry issue regarding Wearables & Accessories product. Issue resolved.,9,3,4,0,0,0,510,Yes,Online
